# ko<TAB>zh-Hans
가치 세무회계는 제조원가명세서가 실제 생산 흐름을 반영하도록 원가 계정 체계를 정리하는 것에서 출발합니다. 재고 평가방법과 감가상각 방법은 세부담 관점에서 선택하고, 연구·인력개발비 세액공제와 통합투자세액공제는 요건 충족 여부를 지출 시점부터 관리해 결산 단계에서 부인되지 않도록 합니다. 정부 지원금은 수령 단계에서 처리 방식을 정해 세부담이 한 해에 몰리지 않게 조정합니다.	VALUE税务会计首先梳理成本科目体系，使制造成本明细表如实反映实际生产流程。存货计价方法与折旧方法从税负角度选择；对于研究及人力开发费税额抵免、综合投资税额抵免，我们自费用发生之时起即管理其适用要件，确保决算阶段不被否认。政府补助金在收取阶段即确定处理方式，避免税负集中于某一年度。
가치 세무회계는 종합건설업과 전문건설업, 관급공사와 민간공사의 차이를 구분해 현장 단위 원가 체계를 먼저 설계합니다. 기성 청구와 세금계산서 발행 시기를 계약 조건에 맞춰 정리하고, 결산 전에 실질자본과 재무비율을 미리 시뮬레이션해 면허 유지에 문제가 생기지 않도록 관리합니다. 일용직 노무비는 출역 기록과 자금 흐름이 서로 맞아떨어지도록 신고 체계를 함께 정비합니다.	VALUE税务会计区分综合建设业与专业建设业、政府工程与民间工程，首先设计以工地为单位的成本体系。我们按合同条款梳理进度款请款与税务发票开具时点，并在决算前预先模拟实质资本与财务比率，确保资质维持不出问题。日雇劳动者劳务费方面，同步整顿申报体系，使出勤记录与资金流向相互吻合。
음식점업은 면세로 매입하는 농·축·수산물에 대해 의제매입세액공제를 받을 수 있어, 증빙만 잘 모아도 부가세를 상당히 줄일 수 있습니다. 반대로 배달앱 매출은 중개수수료·광고비와 얽혀 있어 매출을 부풀려 신고하거나 비용을 놓치기 쉽고, 현금·카드·배달 매출을 합산하면 POS 기록과 어긋나는 경우가 많습니다. 매입 증빙과 매출 대사 체계가 갖춰지면 안정적으로 운영됩니다.	餐饮业对免税采购的农、畜、水产品可享受拟制进项税额扣除，仅凭妥善收集凭证即可大幅降低增值税。反之，外卖平台销售额与中介手续费、广告费交织在一起，容易虚增申报销售额或遗漏费用；现金、刷卡与外卖销售合计后，往往与POS记录不符。一旦建立起采购凭证与销售核对体系，经营即可趋于稳定。
수출기업은 매출에 영세율이 적용되는 대신 매입세액이 쌓여 매 신고마다 환급이 발생하는 구조입니다. 환급은 서류 요건이 조금만 미비해도 지연되거나 부인되고, 외국환거래법상 신고 의무까지 겹칩니다. 또 중계무역이나 위탁가공처럼 물건이 국내에 들어오지 않는 거래는 매출 인식과 과세 방식이 완전히 달라, 거래 구조를 설계하는 단계부터 검토가 필요합니다.	出口企业销售适用零税率，但进项税额不断累积，每次申报都会产生退税。只要单证要件稍有欠缺，退税就会延迟或被否认，并且还叠加《外汇交易法》上的申报义务。此外，转口贸易、委托加工等货物不入境的交易，其收入确认与征税方式完全不同，因此从设计交易架构阶段起就需要审查。
건설업은 공사 기간이 회계연도를 넘나들고, 현장마다 원가 구조가 달라 손익의 귀속 시기를 맞추기가 까다롭습니다. 여기에 건설업 등록을 유지하려면 매 결산마다 자본금과 재무비율 요건을 충족해야 하고, 현장 일용직 노무비는 증빙 하나만 어긋나도 원천세·부가세가 함께 추징됩니다. 처음부터 현장 단위로 관리 체계를 잡아두는 것이 가장 확실한 절세입니다.	建设业的工期跨越会计年度，各工地成本结构不同，损益归属时点难以对应。此外，维持建设业登记须在每次决算时满足资本金与财务比率要件；工地日雇劳动者劳务费只要有一项凭证不符，就会被同时追征代扣税与增值税。从一开始就以工地为单位建立管理体系，是最可靠的节税方式。
가치 세무회계는 교습비와 교재비, 그 밖의 부대수입을 면세와 과세로 나누는 기준을 먼저 정리합니다. 강사와의 계약 형태를 실질에 맞게 정비해 원천징수와 4대보험 처리가 어긋나지 않도록 하고, 사업장현황신고와 종합소득세 신고가 하나의 수입금액 기준 위에서 이어지도록 관리합니다. 셔틀버스와 시설 관련 비용은 손금 인정 요건을 갖춘 형태로 처리합니다.	VALUE税务会计首先厘清学费、教材费及其他附带收入划分免税与应税的标准。我们按经济实质整顿与讲师的合同形式，使代扣代缴与韩国四大社会保险处理不致错位，并管理营业场所现状申报与综合所得税申报，使二者建立在同一收入金额基础之上。校车与设施相关费用则以符合损金认定要件的形式处理。
가치 세무회계는 거래 구조를 먼저 확인한 뒤 영세율 적용 요건과 증빙 체계를 설계합니다. 조기환급을 정례화해 자금 부담을 줄이고, 반복되는 소명 요구에 대비해 선적서류와 대금 흐름을 표준화된 형태로 정리합니다. 중계무역이나 위탁가공처럼 과세 방식이 달라지는 거래는 계약 단계에서 검토해, 신고를 마친 뒤에 되돌려야 하는 상황을 만들지 않습니다.	VALUE税务会计先确认交易架构，再设计零税率适用要件与凭证体系。我们将提前退税常态化以减轻资金压力，并针对反复出现的说明及举证要求，将装运单证与款项流向整理成标准化形式。转口贸易、委托加工等征税方式不同的交易，我们在合同阶段即进行审查，绝不制造申报后还需推翻重来的局面。
학원업은 교습비가 부가가치세 면세라 일반 사업자와 신고 방식이 다르고, 매년 사업장현황신고로 수입금액을 보고해야 합니다. 강사에게 주는 강사료는 원천징수와 지급명세서 제출 의무가 따르며, 교재비처럼 과세로 봐야 하는 항목이 섞여 있어 구분을 잘못하면 가산세로 이어집니다. 항목별 매출 구분과 수입금액 관리를 처음부터 잡아두는 것이 중요합니다.	补习班的学费免征增值税，因此申报方式与一般经营者不同，每年须通过营业场所现状申报报告收入金额。支付给讲师的酬金伴随代扣代缴与提交收入支付明细表的义务；其中还混有教材费等应视为应税的项目，划分错误便会招致加算税。从一开始就建立分项收入划分与收入金额管理十分重要。
도소매·유통업은 오픈마켓·자사몰·오프라인 등 채널이 늘어날수록 매출 데이터가 흩어지고, PG사 정산 주기와 세금계산서 발행 시점이 어긋나 신고 매출과 실제 입금액이 달라 보이기 쉽습니다. 여기에 재고 감모, 반품, 쿠폰·적립금까지 겹치면 소명이 복잡해집니다. 채널별 데이터를 통합해 정리하는 체계가 갖춰지면 세무 리스크의 대부분이 사라집니다.	批发零售与流通业随着开放平台、自营商城、线下门店等渠道增多，销售数据日益分散；支付服务商的结算周期与税务发票开具时点错位，使申报销售额与实际入账金额看起来并不一致。再叠加存货损耗、退货、优惠券与积分，说明及举证便愈发复杂。一旦建立起按渠道整合数据的体系，大部分税务风险即告消失。
제조업은 원재료가 제품이 되기까지 여러 단계를 거치기 때문에 재고 평가와 원가 배분이 손익을 좌우합니다. 동시에 연구·인력개발비 세액공제, 기업부설연구소, 설비 투자에 대한 통합투자세액공제 등 제조업이 활용할 수 있는 공제가 많지만, 요건 관리가 까다로워 놓치는 경우가 많습니다. 원가 체계를 바로잡고 공제를 빠짐없이 챙기는 것이 핵심입니다.	制造业中，原材料变为产品要经过多道工序，因此存货计价与成本分摊左右着损益。同时，制造业可运用的抵免颇多——研究及人力开发费税额抵免、企业附属研究所、设备投资的综合投资税额抵免等——但要件管理繁琐，常被错失。理顺成本体系并不遗漏地取得各项抵免，正是关键所在。
